date,BTC-USD,ETH-USD,SOL-USD,ALGO-USD,HBAR-USD,QRL-USD,CELL-USD
2025-01-01,94419.7578125,3353.504150390625,193.8737335205078,0.3762699961662292,0.2939209938049316,0.6603530049324036,1.0604690313339231
2025-01-02,96580.55183016392,3441.0539161376014,207.14467695262806,0.39178564789325515,0.2911221853181082,0.7463386006412203,1.0958129975707884
2025-01-03,97488.04608456744,3583.444467621117,216.4447573584178,0.4172582678140135,0.31212996621479533,0.7035864355327192,1.1085818874633822
2025-01-04,97307.40131560835,3624.9351197370224,214.68206544932738,0.4083373140372501,0.30395679067803216,0.6993302182013228,0.9839939117935846
2025-01-05,97077.49194793339,3590.7551266296027,210.8482104776634,0.40326470963812033,0.2988962487642603,0.6328659745381848,0.9589192159726108
2025-01-06,100474.57751756183,3633.6950598910475,215.46676611364538,0.4125623540950074,0.3049868347360674,0.6060028037737238,1.03101527601896
2025-01-07,95098.55603903632,3321.2535428940223,198.62267614957082,0.3710346598827888,0.28608530489166467,0.5685661597048927,0.8946899275227493
2025-01-08,92959.90409906383,3257.204777716422,193.4535698645423,0.35626757225771255,0.28083269775785247,0.552961488795181,0.8764251425421626
2025-01-09,90170.5381459921,3143.084150880635,180.63754053099856,0.3387911469777888,0.26453537926030174,0.5378414193792634,0.8687311224052529
2025-01-10,92040.55955116032,3180.4481135628744,182.582301442464,0.36939096309980535,0.27684173757172886,0.5351926285046177,0.8444185779006671
2025-01-11,91618.9030366565,3185.213578365951,182.43940680695374,0.37292768595009845,0.2856161787191853,0.6033815242115858,0.7921642684156082
2025-01-12,91253.75471549096,3159.9336925240486,182.43943752062296,0.3559436063564849,0.271935126938298,0.6084853947116181,0.7752632935681412
2025-01-13,90992.28024132761,3024.6294047084484,176.37035307803706,0.34424467749962645,0.2684902724262901,0.5813920616096828,0.7277414166696198
2025-01-14,92640.74881082092,3100.3809215622473,180.3269078510332,0.36681622720001855,0.2796234563638306,0.6055854986713478,0.8568771815004357
2025-01-15,96146.11749477092,3308.616229121756,197.44216757403768,0.4382550581472834,0.31472320543589605,0.7064048169849407,0.8642848052026023
2025-01-16,95129.23056730954,3162.7696944252107,201.93328718483113,0.45571578525793716,0.3526928893290028,0.6145467040655926,0.7816684594356043
2025-01-17,99301.14246612377,3311.2889310271066,209.32877929273295,0.4608447627375878,0.36340402181553894,0.6135696604642796,0.7349974311348714
2025-01-18,98936.04595891747,3141.421299376395,248.8492388106655,0.4368483405451427,0.3432005392476931,0.5466569406499074,0.6493242141671104
2025-01-19,95488.6454902035,3040.2758589909436,237.41356741201955,0.38807622468769015,0.3147023261940718,0.4960735328070273,0.6083768930386071
