date,BTC-USD,ETH-USD,SOL-USD,ALGO-USD,HBAR-USD,QRL-USD,CELL-USD
2025-01-01,94419.7578125,3353.504150390625,193.8737335205078,0.3762699961662292,0.2939209938049316,0.6603530049324036,1.0604690313339231
2025-01-02,96886.875,3451.392578125,207.7670440673828,0.3922429978847503,0.2917050123214721,0.7464630007743835,1.0963610410690308
2025-01-03,98107.4296875,3605.009765625,217.7473297119141,0.4182330071926117,0.3133809864521026,0.7038210034370422,1.1096910238265991
2025-01-04,98236.2265625,3657.706787109375,216.6229248046875,0.4097689986228943,0.3057860136032104,0.699679970741272,0.98547101020813
2025-01-05,98314.9609375,3634.103759765625,213.3936309814453,0.4051510095596313,0.3012970089912414,0.6332880258560181,0.9608389735221864
2025-01-06,102078.0859375,3688.611328125,218.7231292724609,0.4149760007858276,0.3080520033836365,0.6065080165863037,1.0335960388183594
2025-01-07,96922.703125,3381.577392578125,202.23025512695312,0.3736410140991211,0.2895390093326568,0.5691350102424622,0.8973780274391174
2025-01-08,95043.5234375,3326.329345703125,197.55905151367188,0.3591890037059784,0.2847920060157776,0.5536069869995117,0.8794980049133301
2025-01-09,92484.0390625,3219.4306640625,185.02528381347656,0.3419679999351501,0.2688019871711731,0.5385590195655823,0.8722130060195923
2025-01-10,94701.453125,3267.489990234375,187.5791778564453,0.3732900023460388,0.2818700075149536,0.5359960198402405,0.8482270240783691
2025-01-11,94566.59375,3282.2177734375,187.9955139160156,0.3773039877414703,0.2913860082626343,0.6043879985809326,0.7961350083351135
2025-01-12,94488.4375,3265.951171875,188.5603790283203,0.3605409860610962,0.2779839932918548,0.6096019744873047,0.7795389890670776
2025-01-13,94516.5234375,3135.499755859375,182.8353576660156,0.3490979969501495,0.2750119864940643,0.5825560092926025,0.7321209907531738
2025-01-14,96534.046875,3223.6845703125,187.49859619140625,0.3724220097064972,0.2869890034198761,0.6068990230560303,0.8624650239944458
2025-01-15,100504.4921875,3450.53759765625,205.91134643554688,0.4454720020294189,0.3236599862575531,0.7080550193786621,0.870356023311615
2025-01-16,99756.90625,3308.34521484375,211.22784423828125,0.4637610018253326,0.3634339869022369,0.6160849928855896,0.7875530123710632
2025-01-17,104462.0390625,3474.107177734375,219.62161254882807,0.4695279896259308,0.3752210140228271,0.6152080297470093,0.740900993347168
2025-01-18,104408.0703125,3305.78955078125,261.8697509765625,0.4455989897251129,0.3550699949264526,0.5482079982757568,0.6548669934272766
2025-01-19,101089.609375,3208.96435546875,250.58636474609372,0.3963119983673095,0.3262380063533783,0.4975639879703522,0.61387699842453
2025-01-20,102016.6640625,3278.035400390625,242.25022888183597,0.4288929998874664,0.3410910069942474,0.4932639896869659,0.6088119745254517
2025-01-21,106146.265625,3327.40625,250.41378784179688,0.4239520132541656,0.3371599912643432,0.4853509962558746,0.6530110239982605
2025-01-22,103653.0703125,3240.224609375,257.23736572265625,0.4050010144710541,0.3251920044422149,0.4960559904575348,0.6267639994621277
2025-01-23,103960.171875,3334.714111328125,253.4552001953125,0.4100160002708435,0.3271889984607696,0.4951719939708709,0.6023610234260559
2025-01-24,104819.484375,3309.554931640625,253.36122131347656,0.4000920057296753,0.327221006155014,0.5049669742584229,0.6105319857597351
2025-01-25,104714.6484375,3317.26953125,256.0735778808594,0.4027020037174225,0.3319970071315765,0.5132859945297241,0.6241359710693359
2025-01-26,102682.5,3236.13427734375,240.88345336914065,0.38229700922966,0.3234089910984039,0.4646320044994354,0.5819839835166931
2025-01-27,102087.6875,3178.92041015625,235.07444763183597,0.3868730068206787,0.3143489956855774,0.4549530148506164,0.6063339710235596
