strategy,quantum_exposure,return,sharpe,risk
quantum-blind (theta=0),0.845,-0.12708336798307063,-3.5545680788426175,0.001278214556824159
quantum-aware (theta=0.1),0.8388888888888888,-0.07323158432449085,-2.320484863387084,0.0009959542294246293
