solver,objective_cost,return,risk,sharpe_ratio,transaction_cost,rest_breach_pct
Simulated annealing,0.2578263014561659,-0.06663832600687508,0.0007891738724348548,-2.372125868440742,0.016,19.999999999999996
Exact (brute force),0.2578263014561659,-0.06663832600687508,0.0007891738724348548,-2.372125868440742,0.016,19.999999999999996
Random,0.2658506193570438,-0.15124000636661172,0.0008517891128631612,-5.182038610915695,0.013999999999999999,0.0
VQE-DE (optimized_real_amplitudes),0.2672406066609776,-0.15426641846150524,0.0008245466639686488,-5.372343553128252,0.013999999999999999,0.0
