na,nt,nq,n_qubits,exact,vqe,random_mean,approx_ratio,optimal_found,vqe_seconds
2,2,2,8,0.7531879833852535,0.7531879833852535,1.4254917546975294,1.0,True,2.4729466438293457
3,2,2,12,0.7531879833852535,0.7531879833852535,4.106905611522262,1.0,True,5.698978424072266
2,4,2,16,0.9347480748541002,0.9426024862376057,2.023099090233492,0.9927832002060774,False,132.07234072685242
4,2,2,16,0.7531879833852535,0.8061400486972428,5.865345606756641,0.9896419341473536,False,210.79132318496704
3,3,2,18,0.7245965342022669,0.873688117157819,4.747313842889685,0.9629375937917447,False,1245.093976020813
