solver,objective_cost,return,risk,sharpe_ratio,transaction_cost,rest_breach_pct
Random,0.7531879833852533,-0.10326075518547692,0.0004897750880003943,-4.665916378739347,0.008,60.0
Simulated annealing,0.7531879833852533,-0.10326075518547692,0.0004897750880003943,-4.665916378739347,0.008,60.0
Exact (brute force),0.7531879833852533,-0.10326075518547692,0.0004897750880003943,-4.665916378739347,0.008,60.0
VQE-DE (optimized_real_amplitudes),0.7531879833852533,-0.10326075518547692,0.0004897750880003943,-4.665916378739347,0.008,60.0
