date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ITC.NS,LT.NS,SUNPHARMA.NS
2024-01-01,1279.69287109375,3482.784912109375,812.9945068359375,1429.6361083984375,401.7525329589844,3432.108642578125,1226.38720703125
2024-01-02,1290.2900390625,3457.2880859375,813.4733276367188,1414.0157470703125,403.7267761230469,3347.071533203125,1261.37109375
2024-01-03,1276.25927734375,3373.717041015625,800.9295654296875,1373.099365234375,409.6493835449219,3349.261962890625,1263.70654296875
2024-01-04,1282.854736328125,3350.916015625,809.5235595703125,1394.018310546875,408.9197692871094,3367.126220703125,1277.6710205078125
2024-01-05,1288.3138427734375,3415.890869140625,805.3822021484375,1412.31103515625,406.8168029785156,3428.652587890625,1265.263671875
2024-01-06,1288.3138427734375,3415.890869140625,805.3822021484375,1412.31103515625,406.8168029785156,3428.652587890625,1265.263671875
2024-01-07,1288.3138427734375,3415.890869140625,805.3822021484375,1412.31103515625,406.8168029785156,3428.652587890625,1265.263671875
2024-01-08,1278.26025390625,3361.4248046875,796.4052124023438,1403.3260498046875,399.5637512207031,3408.403564453125,1270.2265625
2024-01-09,1274.8759765625,3372.026123046875,790.2052612304688,1409.316162109375,398.7483215332031,3461.80126953125,1288.424072265625
2024-01-10,1309.261474609375,3393.181640625,792.8145141601562,1400.6534423828125,397.6753845214844,3451.6279296875,1289.251220703125
2024-01-11,1343.696044921875,3413.743408203125,789.4871215820312,1376.9697265625,397.1174621582031,3412.05419921875,1280.88232421875
2024-01-12,1354.39208984375,3548.30810546875,785.752685546875,1486.2188720703125,400.59375,3474.31103515625,1290.3216552734375
2024-01-13,1354.39208984375,3548.30810546875,785.752685546875,1486.2188720703125,400.59375,3474.31103515625,1290.3216552734375
2024-01-14,1354.39208984375,3548.30810546875,785.752685546875,1486.2188720703125,400.59375,3474.31103515625,1290.3216552734375
2024-01-15,1377.5130615234375,3567.499267578125,800.8817138671875,1522.4815673828125,401.3662414550781,3449.242919921875,1293.63037109375
2024-01-16,1358.24560546875,3528.660400390625,803.9219360351562,1503.5439453125,405.4005737304688,3478.88671875,1278.15771484375
2024-01-17,1345.35107421875,3549.953369140625,736.1044921875,1511.51513671875,400.5079345703125,3476.404052734375,1264.095947265625
2024-01-18,1351.6500244140625,3566.402099609375,711.5198974609375,1513.7269287109375,399.5637512207031,3500.791015625,1299.8583984375
2024-01-19,1351.156005859375,3628.4716796875,704.0989379882812,1529.0242919921875,404.7138366699219,3549.467041015625,1299.71240234375
2024-01-20,1351.156005859375,3628.4716796875,704.0989379882812,1529.0242919921875,404.7138366699219,3549.467041015625,1299.71240234375
2024-01-21,1351.156005859375,3628.4716796875,704.0989379882812,1529.0242919921875,404.7138366699219,3549.467041015625,1299.71240234375
2024-01-22,1351.156005859375,3628.4716796875,704.0989379882812,1529.0242919921875,404.7138366699219,3549.467041015625,1299.71240234375
2024-01-23,1312.7442626953125,3550.4365234375,683.368408203125,1513.312255859375,394.241943359375,3456.982177734375,1341.2652587890625
2024-01-24,1327.8619384765625,3535.29931640625,697.037109375,1543.95361328125,397.932861328125,3494.170654296875,1344.9630126953125
2024-01-25,1336.952392578125,3506.31201171875,686.9830932617188,1538.147705078125,391.1089782714844,3498.30810546875,1331.5338134765625
2024-01-26,1336.952392578125,3506.31201171875,686.9830932617188,1538.147705078125,391.1089782714844,3498.30810546875,1331.5338134765625
