solver,objective_cost,return,risk,sharpe_ratio,transaction_cost,rest_breach_pct
Random,0.0006987293257139093,0.116409490518817,0.0002123778081575501,7.987922107922084,0.01,0.0
Simulated annealing,0.0006987293257139093,0.116409490518817,0.0002123778081575501,7.987922107922084,0.01,0.0
Exact (brute force),0.0006987293257139093,0.116409490518817,0.0002123778081575501,7.987922107922084,0.01,0.0
VQE-DE (optimized_real_amplitudes),0.0059530848020035165,0.10303500457347085,0.0001927777577530512,7.420895781309594,0.013999999999999999,0.0
