na,nt,nq,n_qubits,exact,vqe,random_mean,approx_ratio,optimal_found,vqe_seconds
2,2,2,8,0.0006987293257134652,0.0006987293257134652,0.5105527265107713,1.0,True,2.5009942054748535
3,2,2,12,0.0006987293257134652,0.0059530848020032945,0.4157507670646155,0.9873404898698626,False,6.066206693649292
2,4,2,16,0.08493567266763868,0.08493567266763868,1.093288703326612,1.0,True,149.4674756526947
4,2,2,16,-0.010094887760199178,-0.008883370427714254,0.6202898027259139,0.9980781301469256,False,219.2839035987854
3,3,2,18,0.02778758741883358,0.02778758741883358,0.6179497168058297,1.0,True,1263.5593497753143
