date,BTC-USD,ETH-USD,SOL-USD,XRP-USD,BNB-USD,ADA-USD,LINK-USD
2025-01-01,94419.7578125,3353.504150390625,193.8737335205078,2.322340965270996,706.512939453125,0.9175919890403748,21.67484474182129
2025-01-02,96580.55183016392,3441.0539161376014,207.14467695262806,2.3961705982112678,703.5647254810624,0.9585292034521059,21.97441546813118
2025-01-03,97488.04608456744,3583.444467621117,216.44475735841777,2.4382228054132424,709.374513290682,1.0839978743494056,23.25838568042465
2025-01-04,97307.40131560835,3624.9351197370224,214.68206544932738,2.397916348377001,707.4454398758722,1.0620130891295538,23.401792694710604
2025-01-05,97077.49194793339,3590.7551266296027,210.8482104776634,2.3711024721198584,700.798064114472,1.0807119602628104,23.353305080505535
2025-01-06,100474.57751756183,3633.6950598910475,215.4667661136454,2.3827956845770517,718.5407329235195,1.0781939140282693,23.46518008447344
2025-01-07,95098.55603903632,3321.2535428940223,198.62267614957082,2.2318136934403427,684.9285553056627,0.9747033665053001,21.013221464169845
2025-01-08,92959.90409906383,3257.204777716422,193.4535698645423,2.3259436413009995,681.3769415646193,0.9287632640122695,20.030080733363896
2025-01-09,90170.5381459921,3143.084150880635,180.63754053099856,2.2212570105804814,668.8735757553288,0.8849769564845157,19.17990413162875
2025-01-10,92040.55955116032,3180.4481135628744,182.582301442464,2.280830621015381,675.1471564690189,0.907184385728339,19.72664648370627
2025-01-11,91618.9030366565,3185.213578365951,182.43940680695377,2.5006150027102527,676.068486244817,0.9657750112591822,19.595616966982096
2025-01-12,91253.75471549096,3159.9336925240486,182.43943752062296,2.4249554753946985,670.5509334041246,0.937801753224813,19.19339079035945
2025-01-13,90992.28024132761,3024.6294047084484,176.37035307803708,2.433724675527929,663.9305796804473,0.9120655839279739,18.676503815703033
2025-01-14,92640.74881082092,3100.3809215622473,180.3269078510332,2.567040505469678,671.8979822247624,0.9576840584937009,19.533240771251826
2025-01-15,96146.11749477092,3308.616229121756,197.44216757403768,3.025289683078767,684.6602958701203,1.0357344076389081,21.20467707610454
2025-01-16,95129.23056730954,3162.7696944252107,201.93328718483113,3.1027279750693957,677.1311375299118,1.04317453016257,21.99329929156076
2025-01-17,99301.14246612377,3311.2889310271066,209.32877929273297,3.1440404754084352,687.924776220546,1.083077741952891,23.935778748060994
2025-01-18,98936.04595891747,3141.421299376395,248.8492388106655,3.1112304253874252,674.1514342423856,1.0484631005581495,22.91347771739378
2025-01-19,95488.6454902035,3040.2758589909436,237.41356741201957,2.799393676439944,646.3419533541928,0.9402137849296497,22.97454008391873
2025-01-20,96059.66477027678,3096.412798382501,228.8281295044651,2.9280856804798265,644.0273959029702,0.9539667190130161,23.679996525499437
2025-01-21,99632.12712029359,3133.633195076564,235.83082410989485,2.984828490827384,651.5283276001987,0.9474099241567188,25.045722371218655
2025-01-22,96984.33400605503,3042.3877502595774,241.53134573427283,2.977488257740322,652.5499543595002,0.922999498787679,23.74695405386455
2025-01-23,96964.13776556731,3121.728803203055,237.26723561804317,2.9206261911755087,646.121019311962,0.9257804201161975,24.016575451841693
2025-01-24,97456.521077901,3088.8959168845854,236.46878754906567,2.8965634492804124,634.8611237821272,0.9081126599189366,23.510189818410236
2025-01-25,97051.23323604309,3086.821788561281,238.28437581905663,2.893677440088305,638.5940361653222,0.9108379409526495,23.19321209143712
2025-01-26,94866.91707131814,3002.3024966902226,223.4780548275479,2.807563269731859,618.5857667524771,0.8873390811625782,23.111679141064513
2025-01-27,94019.17887174703,2940.3882942077284,217.43550164882038,2.824087499812744,628.7846522402637,0.8644361326330318,22.337280124727055
2025-01-28,93028.59860166501,2837.693780394335,209.5260624872464,2.822945583430917,609.9615571028503,0.8463575339585632,20.85633004911687
2025-01-29,94904.05290406932,2862.188602342037,209.57969425768087,2.821085450906239,613.8911293927326,0.8669183199193501,21.719018841444917
2025-01-30,95545.53367330744,2977.1655645112137,219.10704471548593,2.8701791866665354,621.0978559785924,0.8826442945463705,22.434579501052784
2025-01-31,93124.35666764739,3014.387365740137,211.70110866721316,2.7741649444269716,619.0744713146944,0.8628564303078604,22.983850646453774
2025-02-01,91244.35839750053,2841.400764209352,194.79951970141008,2.628309434025957,595.4038317369345,0.8198934089770855,21.00133235169225
2025-02-02,88274.86300461784,2606.1042465414953,184.5268738185571,2.3436508207050646,561.0679640754105,0.729907407843424,18.557646747554983
2025-02-03,91343.44834541265,2612.6752093992213,195.77590765657823,2.446552260524951,558.9526542208406,0.7366825860539413,19.60323788154599
2025-02-04,87881.73585555641,2469.832121716197,187.0101778359827,2.2895636538465163,517.7319640951588,0.6754991972352855,18.117696946130796
2025-02-05,86479.31777378402,2509.905844729068,176.4529321081512,2.144856543382149,512.9570942196814,0.6616681479681354,17.290165700773333
