solver,objective_cost,return,risk,sharpe_ratio,transaction_cost,rest_breach_pct
Random,0.2677865557351118,0.02748489468116845,0.002710153573941507,0.5279552665173103,0.024,19.999999999999996
Simulated annealing,0.2677865557351118,0.02748489468116845,0.002710153573941507,0.5279552665173103,0.024,19.999999999999996
Exact (brute force),0.2677865557351118,0.02748489468116845,0.002710153573941507,0.5279552665173103,0.024,19.999999999999996
VQE-DE (optimized_real_amplitudes),0.2867016653126888,-0.04036437967770351,0.0032513267945279848,-0.7078935757392933,0.018,0.0
